author_name;Gender;AuthorID
J.K. Rowling;Unkown;1
Mary GrandPré;Unkown;2
W. Frederick Zimmerman;Unkown;3
Douglas Adams;Unkown;4
Stephen Fry;Unkown;5
Bill Bryson;Unkown;6
J.R.R. Tolkien;Unkown;7
Alan  Lee;Unkown;8
Chris   Smith;Unkown;9
Christopher  Lee;Unkown;10
Richard Taylor;Unkown;11
Jude Fisher;Unkown;12
Dave Thomas;Unkown;13
David Heinemeier Hansson;Unkown;14
Leon Breedt;Unkown;15
Mike Clark;Unkown;16
Thomas  Fuchs;Unkown;17
Andreas  Schwarz;Unkown;18
Gary Paulsen;Unkown;19
Donna Ickes;Unkown;20
Edward Sciranko;Unkown;21
Keith Vasconcelles;Unkown;22
Molly Hatchet;Unkown;23
Dale Peck;Unkown;24
Angela Knight;Unkown;25
Sahara Kelly;Unkown;26
Judy Mays;Unkown;27
Marteeka Karland;Unkown;28
Kate Douglas;Unkown;29
Shelby Morgen;Unkown;30
Lacey Savage;Unkown;31
Kate Hill;Unkown;32
Willa Okati;Unkown;33
Delia Sherman;Unkown;34
Patricia A. McKillip;Unkown;35
Zilpha Keatley Snyder;Unkown;36
Kate Horsley;Unkown;37
Philippa Carr;Unkown;38
Edward P. Jones;Unkown;39
Kevin R. Free;Unkown;40
Satyajit Das;Unkown;41
Mark Smylie;Unkown;42
John McPhee;Unkown;43
William Howarth;Unkown;44
Wendy Wasserstein;Unkown;45
Heidi Hayes Jacobs;Unkown;46
Heidi Boyd;Unkown;47
Heidi Baker;Unkown;48
Rolland Baker;Unkown;49
Johanna Spyri;Unkown;50
Beverly Cleary;Unkown;51
Angelo  Rinaldi;Unkown;52
Heidi Murkoff;Unkown;53
Sharon Mazel;Unkown;54
Arlene Eisenberg;Unkown;55
Sandee Hathaway;Unkown;56
Mark D. Widome;Unkown;57
Heidi Fleiss;Unkown;58
Libby Keatinge;Unkown;59
Frank Herbert;Unkown;60
Brian Herbert;Unkown;61
Kevin J. Anderson;Unkown;62
Gary Russell;Unkown;63
Bryce Courtenay;Unkown;64
John C. Maxwell;Unkown;65
Stephen R. Graves;Unkown;66
Thomas G. Addington;Unkown;67
Dave Lakhani;Unkown;68
Louis E. Catron;Unkown;69
Adam Ginsberg;Unkown;70
Marsha Collier;Unkown;71
Chris Malta;Unkown;72
Lisa Suttora;Unkown;73
Julia Wilkinson;Unkown;74
Lucas Carlson;Unkown;75
Leonard Richardson;Unkown;76
Ruby Ann Boxcar;Unkown;77
Rob Orsini;Unkown;78
Leo Tolstoy;Unkown;79
Richard Pevear;Unkown;80
Larissa Volokhonsky;Unkown;81
David Magarshack;Unkown;82
Priscilla Meyer;Unkown;83
John Bayley;Unkown;84
Marianne Sturman;Unkown;85
Amy Mandelker;Unkown;86
Constance Garnett;Unkown;87
Louise Maude;Unkown;88
Aylmer Maude;Unkown;89
Gloria Goldreich;Unkown;90
