Pub_ID;Pub_name
1;Scholastic Inc.
2;Scholastic
3;Nimble Books
4;Gramercy Books
5;Del Rey Books
6;Crown
7;Random House Audio
8;Wings Books
9;Broadway Books
10;William Morrow Paperbacks
11;Ballantine Books
12;Houghton Mifflin Harcourt
13;Pragmatic Bookshelf
14;Atheneum Books for Young Readers: Richard Jackson Books
15;Teacher Created Resources
16;Delacorte Press
17;Cherry Lane Music Company
18;The New Press
19;Changeling Press
20;Viking Juvenile
21;Firebird
22;iUniverse
23;Shambhala
24;Ivy Books
25;Amistad
26;HarperAudio
27;Harper
28;FT Press
29;Archaia
30;Farrar  Straus and Giroux
31;Farrar Straus Giroux
32;Dramatists Play Service
33;Vintage
34;Routledge
35;North Light Books
36;Chosen Books
37;Association for Supervision & Curriculum Development
38;Kingfisher
39;ASCD
40;Sovereign World
41;Workman Publishing Company
42;One Hour Entertainment
43;Ace Books
44;Tor Books
45;Putnam
46;Tor Science Fiction
47;Delacorte Books for Young Readers
48;Thomas Nelson
49;Wiley
50;Heinemann Drama
51;McGraw-Hill
52;O'Reilly Media
53;Citadel
54;Penguin Classics
55;Signet
56;Penguin Books
57;Cliffs Notes
58;Barnes & Noble Classics
59;Dover Publications
60;Barnes & Noble
61;Mira Books
62;Cambridge University Press
63;Buccaneer Books
64;Scribner
65;Clarity Press
66;Rowman & Littlefield Publishers
67;Pearson
68;Harper Perennial
69;EMC
70;Paradigm Publishing
71;Teaching Resources
72;Turtleback Books
73;Little  Brown Book Group
74;William Morrow
75;Atria Books
76;Vintage Crime
77;Black Lizard
78;Picador USA
79;Sterling
80;Puffin
81;New Directions Publishing
82;Grove Press
83;New Directions
84;Barnes  Noble Classics
85;Brookline Books
86;Pantheon
87;One World (UK)
88;Interlink Publishing Group
89;Knopf
90;Sterling Children's Books
91;Simon & Schuster
92;Atheneum Books for Young Readers
93;Abdo Publishing Company
94;Black Classic Press
95;French & European
96;Random House Books for Young Readers
97;Zebra
98;Greenwillow Books
99;Booket
100;Del Rey
101;Ace
102;Pocket Books
103;Samuel French  Inc.
104;Princeton University Press
105;W. W. Norton & Company
106;HMH Books for Young Readers
107;Penguin
108;Vintage Contemporaries
109;Penguin Press
110;Harper Perennial Modern Classics
111;Back Bay Books
112;Knopf Publishing Group
113;Vintage International
114;Everyman's Library
115;Sun and Moon Press
116;Sky Books (NY)
117;Picador
118;Henry Holt & Company
119;Actes Sud
120;Penguin Books Ltd. (London)
121;Business Plus
122;Simon  Schuster
123;W. W. Norton  Company
124;Filiquarian Publishing  LLC.
125;Lerner Publications
126;Adventures Unlimited Press
127;Harlequin Blaze
128;Listening Library (Audio)
129;Random House
130;HarperCollins Publishers
131;Large Print Press
132;Peachpit Press
133;Taschen
134;Bantam
135;HarperTorch
136;Walker & Company
137;Haynes Manuals N. America  Inc.
138;Rockport Publishers
139;Signet Classics
140;Oxford University Press
141;Plume
142;Signet Book
143;Dutton
144;NAL
145;For Dummies
146;Random House Trade Paperbacks
147;Lyons Press
148;Alliance Publishing
149;Alfred A. Knopf
150;Bedford Books
151;Oxford University Press  USA
152;Dey Street Books
153;Vintage Espanol
154;Plaza y Janes
155;Vintage Books USA
156;Wisdom Publications
157;Rough Guides
158;Lonely Planet
159;Geoplaneta
160;Mariner Books
161;Avon
162;Payot
163;HarperCollins Perennial
164;Spectra Books
165;Spectra
166;Bantam Books
167;Two Plus Two Publishing LLC
168;Basic Books
169;Ignatius Press
170;HarperOne
171;HarperCollins
172;VIZ Media LLC
173;Borgo Press
174;It Books
175;Random House Large Print Publishing
176;Newmarket Press
177;Oni Press
178;Moody Publishers
179;Umbriel
180;FonoLibro
181;Anchor
182;Pocket
183;Corgi Books
184;Bantam Press
185;Pinnacle
186;Gallery Books
187;Tarcherperigee
188;High Roads Media
189;Firebrand Books
190;Berkley Books
191;Recorded Books  Inc.
192;University of Chicago Press
193;Howard Publishing Co
194;Zondervan
195;Delta
196;HarperCollins Publishers  Inc.
197;Rodale Books
198;High Point Media
199;John Wiley & Sons
200;B Books
201;Red Dress Ink
202;Ryland Peters & Small
203;Clarkson Potter
204;Clarkson Potter Publishers
205;Ediciones B
206;Putnam Publishing Group
207;Mariner Books 
208; Harvest Books
209;Gallimard
210;Anchor Books
211;Lulu.com
212;Jossey-Bass
213;Prentice Hall
214;Little  Brown
215;Harper Paperbacks
216;Prentice Hall Press
217;Crown Publishing Group
218;BradyGames
219;Penguin (Business)
220;Tor Classics
221;Doubleday Books
222;Warner Books
223;Continuum
224;Stackpole Books
225;Prometheus Books
226;St. Augustines Press
227;Hackett Publishing Company  Inc.
228;Cornell University Press
229;W.W. Norton & Company
230;Everyman's Library 234
231;Bolchazy-Carducci Publishers
232;Harvard University Press
233;Atelos Press
234;Harvard Common Press
235;Viking
236;Gramercy
237;Applause Books
238;Nonpareil Books
239;Bryn Mawr Commentaries
240;New York Review of Books
241;Bantam Classics
242;Loeb Classical Library
243;Bloomsbury Methuen Drama
244;Bristol Classical Press
245;University of Pennsylvania Press
246;Kessinger Publishing
247;New American Library
248;Prestwick House - (Literary Touchstone Classic)
249;Signet Books (NY)
250;Focus Publishing
251;R. Pullins Company
252;Harcourt
253;Little Brown and Company
254;Simon Schuster
255;Berrett-Koehler Publishers
256;Anagrama
257;Granta UK
258;Longman Publishing Group
259;Seix Barral
260;New City Press
261;University of California Press
262;Library of Liberal Arts
263;Bobb-Merrill (Indianapolis  IN)
264;Hackett Publ. Co Inc
265;Ecco Press
266;Santillana USA Publishing Company
267;Harcourt Brace
268;University of Oklahoma Press
269;Wayne State University Press
270;Everyman
271;Tarcher
272;Three Rivers Press (CA)
273;W.W. Norton
274;North Point Press
275;Warner Books (NY)
276;Jove
277;Alfred A. Knopf Books for Young Readers
278;Libraries Unlimited
279;Owl Books (Henry Holt)
280;Pantheon Books (NY)
281;Penguin Books Ltd
282;Villard
283;Modern Library
284;Farrar  Straus and Giroux (NY)
285;Planeta Publishing
286;Mountaineers Books
