Rat_ID;Text_Review_Count;Average_Rating;Ratings_Count;BookID
1;27591;4.57;2095690;1
2;29221;4.49;2153167;2
3;244;4.42;6333;4
4;36325;4.56;2339585;5
5;164;4.78;41428;8
6;1;3.74;19;9
7;808;4.73;28242;10
8;254;4.38;3628;12
9;4080;4.38;249558;13
10;460;4.22;4930;14
11;253;4.22;1266;16
12;195;4.38;2877;18
13;9396;4.21;248558;21
14;499;3.44;7270;22
15;131;3.87;2088;23
16;4245;4.07;72451;24
17;2211;3.9;49240;25
18;2257;3.83;45712;26
19;2238;3.86;48701;27
20;3301;3.91;80609;28
21;2085;3.93;28489;29
22;1550;4.59;101233;30
23;91;4.5;1710;31
24;13670;4.36;2128944;34
25;140;4.5;1618;35
26;46;4.53;19822;36
27;6;4.5;359;37
28;59;3.84;1430;45
29;12017;3.72;270244;50
30;2;4.0;36;51
31;334;3.88;2067;53
32;0;4.33;6;54
33;16;3.45;99;55
34;4;3.76;167;57
35;111;3.6;978;58
36;302;4.06;4454;59
37;96;4.17;1176;61
38;43;3.55;301;63
39;12;3.98;345;66
40;2626;3.83;29686;67
41;12;3.83;55;68
42;3;3.83;22;69
43;82;3.83;1456;71
44;4;4.13;52;72
45;37;4.42;562;74
46;203;3.95;1630;75
47;22;4.17;268;76
48;305;4.24;3498;77
49;228;4.34;3115;78
50;261;4.22;5704;79
51;52;3.92;698;80
52;36;4.23;542;81
53;98;4.23;1341;83
54;70;3.75;1423;85
55;64;3.84;2766;86
56;1;3.94;31;89
57;4;3.77;62;90
58;53;4.46;860;91
59;2;3.68;77;92
60;2257;3.99;153317;93
61;5;3.25;55;94
62;6;4.46;34;96
63;659;3.89;11797;98
64;8;3.82;34;99
65;4;3.78;78;100
66;166;3.84;2785;103
67;568;3.91;38778;105
68;2359;3.88;97494;106
69;21;4.01;784;107
70;20;3.86;272;109
71;83;3.88;4789;110
72;644;3.86;45388;117
73;102;4.59;26153;119
74;4551;4.35;69167;122
75;13;4.35;45;123
76;1;4.28;16;129
77;16;3.34;174;130
78;0;3.67;10;131
79;9;3.48;76;132
80;9;3.5;111;133
81;0;3.62;24;135
